time(UTC),Year,Month,Day,Hour(UTC),Hour Taxila,G(h),Gd(h),T2m,RH,Gb(n),IR(h),WS10m,WD10m,SP,,,,,,
20050101:2200,2005,01,01,22,3,0,0,7.28,85.8,0,320.85,1.31,341,94510,,,,,,
20050101:2300,2005,01,01,23,4,0,0,7.04,89,0,315.25,1.31,348,94480,,,,,,
20050102:0000,2005,01,02,00,5,0,0,7.14,85.8,0,324.55,1.31,360,94450,,,,,,
20050102:0100,2005,01,02,01,6,0,0,7.19,85.8,0,326,1.17,1,94460,,,,,,
20050102:0200,2005,01,02,02,7,0,0,7.01,89,0,320.85,1.03,2,94500,,,,,,
20050102:0300,2005,01,02,03,8,91,71.3,7.17,89,152.21,323.4,0.76,11,94550,,,,,,
20050102:0400,2005,01,02,04,9,168.8,127.35,8.92,79.85,140.75,311.75,0.48,358,94630,,,,,,
20050102:0500,2005,01,02,05,10,188.35,131.15,10.3,69.1,134.67,321.85,0.41,338,94660,,,,,,
20050102:0600,2005,01,02,06,11,284.2,168.7,10.92,66.65,225.89,330.35,0.55,321,94680,,,,,,
20050102:0700,2005,01,02,07,12,354.8,167.55,11.67,62.1,341.51,328.4,0.62,281,94590,,,,,,
20050102:0800,2005,01,02,08,13,372.35,111.7,12.36,62.2,488.88,324.75,0.69,307,94520,,,,,,
20050102:0900,2005,01,02,09,14,330.5,90.3,12.69,62.2,514.41,315.85,0.97,330,94430,,,,,,
20050102:1000,2005,01,02,10,15,175.05,78.35,12.93,64.55,273.04,310.2,1.31,335,94390,,,,,,
20050102:1100,2005,01,02,11,16,60.8,35.35,12.33,62.2,125.68,308.3,1.31,334,94370,,,,,,
20050102:1200,2005,01,02,12,17,0.5,0.5,11.26,69.25,0,310.05,1.38,340,94360,,,,,,
20050102:1300,2005,01,02,13,18,0,0,9.88,77.1,0,304.8,1.79,354,94380,,,,,,
20050102:1400,2005,01,02,14,19,0,0,8.77,82.85,0,300.55,1.86,8,94420,,,,,,
20050102:1500,2005,01,02,15,20,0,0,8.19,85.9,0,307.7,1.86,17,94450,,,,,,
20050102:1600,2005,01,02,16,21,0,0,7.21,92.35,0,299,1.79,21,94500,,,,,,
20050102:1700,2005,01,02,17,22,0,0,6.42,92.3,0,286.8,1.86,23,94520,,,,,,
20050102:1800,2005,01,02,18,23,0,0,6.16,92.3,0,295.1,1.93,37,94510,,,,,,
20050102:1900,2005,01,02,19,0,0,0,5.94,95.75,0,290.85,1.86,45,94480,,,,,,
20050102:2000,2005,01,02,20,1,0,0,6.1,95.75,0,304.2,1.72,45,94480,,,,,,
20050102:2100,2005,01,02,21,2,0,0,6.01,92.3,0,297.45,1.52,34,94460,,,,,,
20050102:2200,2005,01,02,22,3,0,0,5.74,92.3,0,285.45,1.38,20,94500,,,,,,
20050102:2300,2005,01,02,23,4,0,0,5.06,99.4,0,286.8,1.52,360,94480,,,,,,
20050103:0000,2005,01,03,00,5,0,0,4.7,95.75,0,294.55,1.66,357,94490,,,,,,
20050103:0100,2005,01,03,01,6,0,0,4.42,99.4,0,286.7,1.86,2,94530,,,,,,
20050103:0200,2005,01,03,02,7,0,0,4.43,99.4,0,289.9,1.79,7,94610,,,,,,
20050103:0300,2005,01,03,03,8,120.95,59.5,5.05,99.4,475.7,293.6,1.45,10,94690,,,,,,
20050103:0400,2005,01,03,04,9,285.25,85,8.2,85.9,679.77,295.5,1.17,4,94800,,,,,,
20050103:0500,2005,01,03,05,10,437.4,105.4,10.58,74.4,780.77,288.55,1.31,350,94870,,,,,,
20050103:0600,2005,01,03,06,11,437.15,102.7,12.03,69.35,652.97,291.25,1.24,354,94900,,,,,,
20050103:0700,2005,01,03,07,12,485.4,161.5,12.7,64.55,589.37,296.85,1.24,357,94810,,,,,,
20050103:0800,2005,01,03,08,13,464.85,102.7,13.54,60.05,677.16,304.8,1.03,17,94760,,,,,,
20050103:0900,2005,01,03,09,14,351.05,81.95,14.04,55.9,573.88,299.4,0.76,23,94720,,,,,,
20050103:1000,2005,01,03,10,15,214.35,75.6,14.18,55.9,389.34,301.9,0.69,359,94700,,,,,,
20050103:1100,2005,01,03,11,16,78.1,29.25,14,55.9,238.46,305.55,0.83,324,94720,,,,,,
20050103:1200,2005,01,03,12,17,0.6,0.6,13.06,62.2,0,296.65,1.31,301,94750,,,,,,
20050103:1300,2005,01,03,13,18,0,0,11.22,69.25,0,277.1,1.72,324,94810,,,,,,
20050103:1400,2005,01,03,14,19,0,0,9.55,79.9,0,276.55,2,344,94850,,,,,,
20050103:1500,2005,01,03,15,20,0,0,8.36,82.75,0,275,2.07,357,94900,,,,,,
20050103:1600,2005,01,03,16,21,0,0,7.51,85.8,0,272.85,2.21,7,94930,,,,,,
20050103:1700,2005,01,03,17,22,0,0,6.84,85.75,0,271.7,2.21,10,94970,,,,,,
20050103:1800,2005,01,03,18,23,0,0,6.36,88.95,0,270.75,2.21,15,94980,,,,,,
20050103:1900,2005,01,03,19,0,0,0,6.23,88.95,0,280.6,2.14,25,94980,,,,,,
20050103:2000,2005,01,03,20,1,0,0,6.27,88.95,0,289.9,2.07,23,94940,,,,,,
20050103:2100,2005,01,03,21,2,0,0,6.26,88.95,0,295.1,1.93,18,94920,,,,,,
20050103:2200,2005,01,03,22,3,0,0,6.02,92.3,0,289.9,1.93,12,94890,,,,,,
20050103:2300,2005,01,03,23,4,0,0,5.81,92.3,0,290.3,1.79,7,94860,,,,,,
20050104:0000,2005,01,04,00,5,0,0,5.46,95.75,0,282.75,1.86,8,94850,,,,,,
20050104:0100,2005,01,04,01,6,0,0,5.29,92.25,0,287.7,1.79,9,94870,,,,,,
20050104:0200,2005,01,04,02,7,0,0,5.12,92.25,0,288.95,1.72,12,94910,,,,,,
20050104:0300,2005,01,04,03,8,137.35,95.2,5.29,92.25,326.66,286.2,1.52,17,94950,,,,,,
20050104:0400,2005,01,04,04,9,277.2,155.9,8.48,82.75,411.5,292.8,0.9,6,95010,,,,,,
20050104:0500,2005,01,04,05,10,351.25,232.45,11.97,62.1,279.01,288.95,0.76,332,95050,,,,,,
20050104:0600,2005,01,04,06,11,420.25,250.2,13.37,55.75,331.37,297.45,1.17,303,95040,,,,,,
20050104:0700,2005,01,04,07,12,447.5,261.6,13.63,55.75,337.41,300.75,1.24,304,95030,,,,,,
20050104:0800,2005,01,04,08,13,403.25,224.5,14.33,52,333.14,305.4,1.45,293,94950,,,,,,
20050104:0900,2005,01,04,09,14,309.1,200.55,14.53,52,230.48,305,1.52,296,94860,,,,,,
20050104:1000,2005,01,04,10,15,201.5,122.8,14.47,52,219.42,305.75,1.31,298,94810,,,,,,
20050104:1100,2005,01,04,11,16,77.2,39.2,13.92,55.9,183.32,291.65,1.17,291,94770,,,,,,
20050104:1200,2005,01,04,12,17,0.8,0.8,12.69,62.2,0,280.8,1.45,294,94750,,,,,,
20050104:1300,2005,01,04,13,18,0,0,10.53,74.4,0,269.4,1.59,322,94760,,,,,,
20050104:1400,2005,01,04,14,19,0,0,8.73,79.85,0,266.5,1.79,350,94760,,,,,,
20050104:1500,2005,01,04,15,20,0,0,7.52,82.65,0,269,1.86,7,94790,,,,,,
20050104:1600,2005,01,04,16,21,0,0,6.54,88.95,0,265.1,1.86,15,94770,,,,,,
20050104:1700,2005,01,04,17,22,0,0,5.91,88.9,0,270.55,1.79,18,94760,,,,,,
20050104:1800,2005,01,04,18,23,0,0,5.2,88.85,0,260.1,1.86,16,94730,,,,,,
20050104:1900,2005,01,04,19,0,0,0,4.58,92.2,0,262.6,1.72,13,94690,,,,,,
20050104:2000,2005,01,04,20,1,0,0,4.33,92.2,0,256.6,1.66,12,94650,,,,,,
20050104:2100,2005,01,04,21,2,0,0,4.03,92.15,0,255.25,1.72,14,94630,,,,,,
20050104:2200,2005,01,04,22,3,0,0,3.56,92.15,0,254.65,1.79,19,94590,,,,,,
20050104:2300,2005,01,04,23,4,0,0,3.11,88.7,0,254.65,1.79,20,94560,,,,,,
20050105:0000,2005,01,05,00,5,0,0,2.8,92.15,0,253.15,1.86,21,94520,,,,,,
20050105:0100,2005,01,05,01,6,0,0,2.56,92.1,0,252.25,1.86,21,94530,,,,,,
20050105:0200,2005,01,05,02,7,0,0,2.33,92.1,0,251.75,1.86,19,94530,,,,,,
20050105:0300,2005,01,05,03,8,188.25,50.55,2.9,88.65,1067.58,251.2,1.52,20,94570,,,,,,
20050105:0400,2005,01,05,04,9,359.7,68.8,7.07,85.75,985.88,254.5,0.83,11,94630,,,,,,
20050105:0500,2005,01,05,05,10,491.05,77.35,11.61,59.7,970.04,261.05,0.83,315,94670,,,,,,
20050105:0600,2005,01,05,06,11,567.6,83.8,13.34,53.7,940.76,267.45,1.31,292,94670,,,,,,
20050105:0700,2005,01,05,07,12,581.9,85.4,14.25,52,898.73,274.05,1.52,285,94650,,,,,,
20050105:0800,2005,01,05,08,13,531.85,82.3,14.92,50.25,834.94,277.5,1.38,289,94580,,,,,,
20050105:0900,2005,01,05,09,14,421.95,74.8,15.26,48.55,733.72,279.85,1.17,286,94530,,,,,,
20050105:1000,2005,01,05,10,15,265.35,61.55,15.2,48.55,564.46,280.6,0.9,280,94490,,,,,,
20050105:1100,2005,01,05,11,16,90.85,32.55,14.8,50.25,277.89,279.85,0.62,277,94510,,,,,,
20050105:1200,2005,01,05,12,17,0.95,0.95,13.75,55.9,0,277.5,0.76,290,94500,,,,,,
20050105:1300,2005,01,05,13,18,0,0,11.8,64.45,0,272.3,0.83,346,94560,,,,,,
20050105:1400,2005,01,05,14,19,0,0,9.58,74.2,0,269.95,1.45,24,94590,,,,,,
20050105:1500,2005,01,05,15,20,0,0,7.95,79.7,0,268.6,1.93,36,94640,,,,,,
20050105:1600,2005,01,05,16,21,0,0,7.01,85.75,0,267.45,2.07,41,94650,,,,,,
20050105:1700,2005,01,05,17,22,0,0,6.26,85.7,0,266.65,2.07,39,94670,,,,,,
20050105:1800,2005,01,05,18,23,0,0,5.64,88.9,0,265.1,2,35,94670,,,,,,
20050105:1900,2005,01,05,19,0,0,0,5.14,88.85,0,265.7,1.93,30,94660,,,,,,
20050105:2000,2005,01,05,20,1,0,0,4.87,92.25,0,264.55,1.86,23,94650,,,,,,
20050105:2100,2005,01,05,21,2,0,0,4.6,88.85,0,262.6,1.86,16,94640,,,,,,
20050105:2200,2005,01,05,22,3,0,0,4.2,92.2,0,261.65,1.93,9,94620,,,,,,
20050105:2300,2005,01,05,23,4,0,0,3.89,92.15,0,260.65,2,6,94580,,,,,,
20050106:0000,2005,01,06,00,5,0,0,3.65,92.15,0,259.15,2,4,94560,,,,,,
20050106:0100,2005,01,06,01,6,0,0,3.4,92.15,0,258.25,2.07,3,94570,,,,,,
20050106:0200,2005,01,06,02,7,0,0,3.17,92.15,0,257.2,2.07,3,94620,,,,,,
20050106:0300,2005,01,06,03,8,187,52,3.54,95.7,1046.24,256.8,1.86,3,94680,,,,,,
20050106:0400,2005,01,06,04,9,357.8,70.65,7.77,82.7,971.86,259.3,1.31,350,94760,,,,,,
20050106:0500,2005,01,06,05,10,491.2,80.45,12.02,59.85,961.34,264.95,1.66,327,94830,,,,,,
20050106:0600,2005,01,06,06,11,568.4,85.75,13.74,53.85,936.34,270.95,2.07,313,94830,,,,,,
20050106:0700,2005,01,06,07,12,583.65,86.1,14.79,50.25,898.03,275.75,2.14,308,94810,,,,,,
20050106:0800,2005,01,06,08,13,533.8,83.25,15.52,48.55,833.77,278.85,2.21,308,94740,,,,,,
20050106:0900,2005,01,06,09,14,424.3,76.5,15.89,46.9,731.61,281.2,2.41,307,94690,,,,,,
20050106:1000,2005,01,06,10,15,265.9,66.3,15.76,46.9,549.08,281.95,2.48,306,94650,,,,,,
20050106:1100,2005,01,06,11,16,91.85,36.75,15.01,52.15,259.44,282.75,2,297,94650,,,,,,
20050106:1200,2005,01,06,12,17,1.25,1.25,13.2,60.05,0,279.85,2.07,303,94660,,,,,,
20050106:1300,2005,01,06,13,18,0,0,11.18,66.75,0,279.05,2,330,94670,,,,,,
20050106:1400,2005,01,06,14,19,0,0,9.75,74.3,0,283.3,2,353,94720,,,,,,
20050106:1500,2005,01,06,15,20,0,0,8.59,79.75,0,280.05,2,3,94730,,,,,,
20050106:1600,2005,01,06,16,21,0,0,7.62,82.65,0,274.05,2.07,5,94760,,,,,,
20050106:1700,2005,01,06,17,22,0,0,6.85,85.75,0,273.45,2.07,8,94750,,,,,,
20050106:1800,2005,01,06,18,23,0,0,6.04,88.9,0,266.3,2.07,10,94750,,,,,,
20050106:1900,2005,01,06,19,0,0,0,5.19,88.85,0,263.2,2.07,19,94720,,,,,,
20050106:2000,2005,01,06,20,1,0,0,4.78,88.85,0,262.05,2.14,18,94680,,,,,,
20050106:2100,2005,01,06,21,2,0,0,4.4,88.8,0,261.65,2.14,14,94620,,,,,,
20050106:2200,2005,01,06,22,3,0,0,4.1,85.5,0,260.65,2.21,10,94610,,,,,,
20050106:2300,2005,01,06,23,4,0,0,3.79,85.45,0,256.4,2.21,9,94570,,,,,,
20050107:0000,2005,01,07,00,5,0,0,3.48,85.4,0,254.5,2.28,9,94530,,,,,,
20050107:0100,2005,01,07,01,6,0,0,3.15,82.2,0,252.85,2.28,9,94540,,,,,,
20050107:0200,2005,01,07,02,7,0,0,2.79,82.15,0,251.75,2.21,9,94580,,,,,,
20050107:0300,2005,01,07,03,8,190.05,52,3.12,82.2,1068.63,250.8,1.93,10,94650,,,,,,
20050107:0400,2005,01,07,04,9,362.75,70.55,7.34,79.65,987.27,253.7,1.31,354,94720,,,,,,
20050107:0500,2005,01,07,05,10,497.25,80.4,12.59,49.7,973.57,259.15,1.52,325,94770,,,,,,
20050107:0600,2005,01,07,06,11,575.45,85.3,14.49,41.5,948.49,265.3,2,310,94760,,,,,,
20050107:0700,2005,01,07,07,12,590.7,86.1,15.27,38.7,907.97,269.75,2.21,307,94700,,,,,,
20050107:0800,2005,01,07,08,13,540.7,83.05,15.97,40.35,843.71,273.45,2.28,300,94640,,,,,,
20050107:0900,2005,01,07,09,14,430.15,77.1,16.22,40.5,739.01,276.75,2.28,299,94560,,,,,,
20050107:1000,2005,01,07,10,15,273.75,61.95,16.04,43.5,578.59,278.65,2.21,297,94540,,,,,,
20050107:1100,2005,01,07,11,16,97.1,34.1,15.21,48.55,292.97,278.1,1.86,290,94520,,,,,,
20050107:1200,2005,01,07,12,17,1.3,1.3,13.37,57.9,0,275,1.93,295,94510,,,,,,
20050107:1300,2005,01,07,13,18,0,0,11.14,66.65,0,271.3,1.79,324,94540,,,,,,
20050107:1400,2005,01,07,14,19,0,0,9.35,74.2,0,271.5,1.79,358,94550,,,,,,
20050107:1500,2005,01,07,15,20,0,0,8.14,76.85,0,275.75,1.79,15,94570,,,,,,
20050107:1600,2005,01,07,16,21,0,0,7.34,82.65,0,268.4,1.72,17,94560,,,,,,
20050107:1700,2005,01,07,17,22,0,0,6.98,82.6,0,268.8,1.66,13,94570,,,,,,
20050107:1800,2005,01,07,18,23,0,0,6.42,82.55,0,266.85,1.72,13,94560,,,,,,
20050107:1900,2005,01,07,19,0,0,0,5,88.85,0,260.3,1.79,26,94520,,,,,,
20050107:2000,2005,01,07,20,1,0,0,4.51,88.8,0,258.75,1.86,23,94470,,,,,,
20050107:2100,2005,01,07,21,2,0,0,4.22,85.5,0,259.1,1.93,21,94420,,,,,,
20050107:2200,2005,01,07,22,3,0,0,3.89,85.45,0,257.75,1.93,17,94370,,,,,,
20050107:2300,2005,01,07,23,4,0,0,3.66,85.45,0,257.6,1.93,13,94330,,,,,,
20050108:0000,2005,01,08,00,5,0,0,3.36,85.4,0,255.65,2,8,94290,,,,,,
20050108:0100,2005,01,08,01,6,0,0,3.21,82.2,0,255.75,2.07,8,94300,,,,,,
20050108:0200,2005,01,08,02,7,0,0,3.02,85.35,0,253.9,2.21,15,94320,,,,,,
20050108:0300,2005,01,08,03,8,190.1,51.5,3.33,82.2,1070.81,253.15,1.86,21,94340,,,,,,
20050108:0400,2005,01,08,04,9,360.35,68.95,8.23,71.35,982.55,256.6,0.9,4,94430,,,,,,
20050108:0500,2005,01,08,05,10,501.15,75.05,12.66,51.65,992.85,262.6,1.17,305,94470,,,,,,
20050108:0600,2005,01,08,06,11,579.05,86.4,14.35,44.75,950.73,266.3,1.79,296,94480,,,,,,
20050108:0700,2005,01,08,07,12,577.25,95.6,15.46,41.75,863.88,274.8,1.52,303,94470,,,,,,
20050108:0800,2005,01,08,08,13,520.95,79.4,16.11,40.35,810.81,279.25,1.52,300,94420,,,,,,
20050108:0900,2005,01,08,09,14,411.35,85.1,16.34,39,679.46,281.75,1.52,306,94380,,,,,,
20050108:1000,2005,01,08,10,15,256,78.2,16.29,39,482.24,291.45,1.38,306,94340,,,,,,
20050108:1100,2005,01,08,11,16,87.4,36.85,15.77,43.5,232.14,303.05,1.24,298,94350,,,,,,
20050108:1200,2005,01,08,12,17,1.4,1.4,14.31,52,0,287.55,1.31,296,94330,,,,,,
20050108:1300,2005,01,08,13,18,0,0,11.63,71.85,0,283.5,1.31,344,94370,,,,,,
20050108:1400,2005,01,08,14,19,0,0,10,71.6,0,289.3,1.59,6,94390,,,,,,
20050108:1500,2005,01,08,15,20,0,0,9.51,71.5,0,292.4,1.45,15,94420,,,,,,
20050108:1600,2005,01,08,16,21,0,0,8.91,71.4,0,290.1,1.52,36,94440,,,,,,
20050108:1700,2005,01,08,17,22,0,0,7.49,79.65,0,277.7,2,43,94450,,,,,,
20050108:1800,2005,01,08,18,23,0,0,6.61,82.55,0,271.1,2,43,94460,,,,,,
20050108:1900,2005,01,08,19,0,0,0,5.93,85.65,0,274.4,2,49,94490,,,,,,
20050108:2000,2005,01,08,20,1,0,0,5.45,85.6,0,269.2,2,49,94450,,,,,,
20050108:2100,2005,01,08,21,2,0,0,5.04,88.85,0,268.6,1.93,47,94430,,,,,,
20050108:2200,2005,01,08,22,3,0,0,5.08,88.85,0,278.5,1.72,40,94390,,,,,,
20050108:2300,2005,01,08,23,4,0,0,4.97,85.55,0,267.85,1.66,24,94360,,,,,,
20050109:0000,2005,01,09,00,5,0,0,4.58,85.5,0,268.05,1.79,13,94320,,,,,,
20050109:0100,2005,01,09,01,6,0,0,4.21,85.5,0,272,1.86,11,94330,,,,,,
20050109:0200,2005,01,09,02,7,0,0,3.82,85.45,0,263.2,2,14,94370,,,,,,
20050109:0300,2005,01,09,03,8,181.65,56.05,4.11,85.5,967.75,263.75,1.72,17,94420,,,,,,
20050109:0400,2005,01,09,04,9,353.3,75.35,8.12,82.7,934.95,266.3,0.97,360,94490,,,,,,
20050109:0500,2005,01,09,05,10,490.3,79.85,12.45,53.6,953.92,274.2,1.24,327,94520,,,,,,
20050109:0600,2005,01,09,06,11,564.25,93.3,13.95,48.15,906.2,273.05,1.52,309,94520,,,,,,
20050109:0700,2005,01,09,07,12,583.4,97.7,14.69,46.5,868.18,279.45,1.72,308,94500,,,,,,
20050109:0800,2005,01,09,08,13,539.15,83.25,15.34,43.4,833.72,286.05,2,303,94410,,,,,,
20050109:0900,2005,01,09,09,14,433.3,77.3,15.55,43.4,737.54,280.2,2.14,302,94330,,,,,,
20050109:1000,2005,01,09,10,15,278.85,62.75,15.37,43.4,581.85,280.4,2.14,302,94280,,,,,,
20050109:1100,2005,01,09,11,16,102.2,35.15,14.67,50.1,304.01,278.85,1.93,298,94250,,,,,,
20050109:1200,2005,01,09,12,17,2.15,1.6,13.04,57.75,13.6,275.75,1.86,299,94230,,,,,,
20050109:1300,2005,01,09,13,18,0,0,10.91,64.25,0,270.15,1.86,323,94270,,,,,,
20050109:1400,2005,01,09,14,19,0,0,9.09,74.15,0,269.6,1.79,352,94280,,,,,,
20050109:1500,2005,01,09,15,20,0,0,7.9,79.7,0,269.75,2,14,94290,,,,,,
20050109:1600,2005,01,09,16,21,0,0,7.01,82.6,0,268.4,2.14,25,94290,,,,,,
20050109:1700,2005,01,09,17,22,0,0,6.3,82.55,0,266.65,2.21,29,94250,,,,,,
20050109:1800,2005,01,09,18,23,0,0,5.62,85.65,0,263.75,2.14,28,94190,,,,,,
20050109:1900,2005,01,09,19,0,0,0,5.1,85.6,0,260.3,2,21,94110,,,,,,
20050109:2000,2005,01,09,20,1,0,0,4.59,88.8,0,258.35,2,15,94050,,,,,,
20050109:2100,2005,01,09,21,2,0,0,4.18,88.8,0,257.6,2.07,9,93980,,,,,,
20050109:2200,2005,01,09,22,3,0,0,3.84,88.75,0,255.85,2.07,1,93920,,,,,,
20050109:2300,2005,01,09,23,4,0,0,3.6,85.45,0,254.85,2.14,357,93840,,,,,,
20050110:0000,2005,01,10,00,5,0,0,3.4,85.4,0,252.95,2.21,355,93810,,,,,,
20050110:0100,2005,01,10,01,6,0,0,3.2,85.4,0,252.05,2.28,354,93780,,,,,,
20050110:0200,2005,01,10,02,7,0,0,2.95,85.35,0,251.4,2.21,355,93790,,,,,,
20050110:0300,2005,01,10,03,8,192.8,52,3.31,85.4,1081.11,249.45,2,354,93810,,,,,,
20050110:0400,2005,01,10,04,9,367.4,71.55,7.46,76.7,992.44,251.2,1.72,335,93870,,,,,,
20050110:0500,2005,01,10,05,10,505.15,80.5,11.17,49.45,984.14,256.2,2.34,317,93920,,,,,,
20050110:0600,2005,01,10,06,11,587.2,84.55,12.53,42.7,964.19,259.5,3.03,314,93930,,,,,,
20050110:0700,2005,01,10,07,12,603.75,85.85,13.56,39.65,922.43,263.75,3.86,310,93830,,,,,,
20050110:0800,2005,01,10,08,13,556.5,81.05,14,38.3,865.77,266.1,4.07,310,93780,,,,,,
20050110:0900,2005,01,10,09,14,446.9,74.1,14.21,37,768.2,266.5,3.93,310,93760,,,,,,
20050110:1000,2005,01,10,10,15,286.1,63.8,14.19,39.8,594.1,268.4,3.66,308,93760,,,,,,
20050110:1100,2005,01,10,11,16,107.35,36.15,13.69,42.95,318.69,268.2,2.97,308,93790,,,,,,
20050110:1200,2005,01,10,12,17,2.6,1.9,12.1,49.6,16.18,265.5,2.14,314,93820,,,,,,
20050110:1300,2005,01,10,13,18,0,0,10.07,59.35,0,260.65,2,331,93890,,,,,,
20050110:1400,2005,01,10,14,19,0,0,8.36,66.15,0,258.15,2.07,349,93940,,,,,,
20050110:1500,2005,01,10,15,20,0,0,7.09,71.05,0,255.65,2.14,357,93990,,,,,,
20050110:1600,2005,01,10,16,21,0,0,6.07,73.65,0,253.3,2.14,2,94050,,,,,,
20050110:1700,2005,01,10,17,22,0,0,5.28,73.55,0,251.4,2.21,7,94080,,,,,,
20050110:1800,2005,01,10,18,23,0,0,4.56,76.25,0,249.25,2.14,12,94100,,,,,,
20050110:1900,2005,01,10,19,0,0,0,3.78,79.15,0,247.7,1.93,19,94080,,,,,,
20050110:2000,2005,01,10,20,1,0,0,3.17,79.1,0,245.75,1.93,17,94090,,,,,,
20050110:2100,2005,01,10,21,2,0,0,2.58,85.3,0,244.6,2,16,94090,,,,,,
20050110:2200,2005,01,10,22,3,0,0,2.23,82.05,0,243.05,2.07,14,94100,,,,,,
20050110:2300,2005,01,10,23,4,0,0,1.9,82.05,0,241.9,2.21,16,94080,,,,,,
20050111:0000,2005,01,11,00,5,0,0,1.5,82,0,240.35,2.14,15,94100,,,,,,
20050111:0100,2005,01,11,01,6,0,0,1.13,82,0,238.7,2.14,13,94120,,,,,,
20050111:0200,2005,01,11,02,7,0,0,0.76,81.95,0,237.25,2.14,11,94190,,,,,,
20050111:0300,2005,01,11,03,8,199.3,52.5,1.12,82,1122.43,236.3,1.79,10,94280,,,,,,
20050111:0400,2005,01,11,04,9,378.2,70.7,5.68,79.4,1028.35,238.4,1.17,1,94380,,,,,,
20050111:0500,2005,01,11,05,10,518.55,79.35,10.97,51.25,1014.76,244.05,1.1,335,94450,,,,,,
20050111:0600,2005,01,11,06,11,558.7,144.35,13.02,42.7,792.2,250.4,1.24,304,94490,,,,,,
20050111:0700,2005,01,11,07,12,560.4,177.75,13.67,42.8,678.99,267.05,1.31,285,94520,,,,,,
20050111:0800,2005,01,11,08,13,474,213.3,14.31,41.5,472.63,276.15,1.31,291,94460,,,,,,
20050111:0900,2005,01,11,09,14,371.9,183.35,14.53,41.5,386.39,280.2,1.45,285,94430,,,,,,
20050111:1000,2005,01,11,10,15,236.85,128.1,14.33,43.1,288.43,284.3,1.52,282,94430,,,,,,
20050111:1100,2005,01,11,11,16,85.5,60.75,13.67,48,109.35,284.5,1.24,286,94450,,,,,,
20050111:1200,2005,01,11,12,17,2.6,2.55,12.32,53.6,1.08,274.05,1.24,294,94460,,,,,,
20050111:1300,2005,01,11,13,18,0,0,9.89,71.6,0,269,1.17,325,94490,,,,,,
20050111:1400,2005,01,11,14,19,0,0,8.18,76.85,0,266.1,1.45,3,94520,,,,,,
20050111:1500,2005,01,11,15,20,0,0,6.81,79.55,0,261.65,1.93,18,94540,,,,,,
20050111:1600,2005,01,11,16,21,0,0,5.77,82.5,0,257.95,2.07,21,94550,,,,,,
20050111:1700,2005,01,11,17,22,0,0,5.01,85.55,0,260.5,2.14,20,94570,,,,,,
20050111:1800,2005,01,11,18,23,0,0,4.51,88.8,0,266.3,2.07,25,94570,,,,,,
